SPECIES,LATITUDE,LONGITUDE,longlat.uncertainty,Year,Month
Atriplex nummularia,-32.85,135.166667,10000,1924,2
Atriplex velutinella,-29.708426,138.256883,1000,1957,2
Atriplex cordifolia,-29.708426,138.256883,1000,1957,2
Atriplex limbata,-31.7,140.116667,1000,1978,2
Atriplex paludosa subsp. cordata,-34.8,138.5,10000,1880,2
Atriplex paludosa subsp. cordata,-34.432062,137.917768,10000,1880,2
Atriplex paludosa subsp. cordata,-34.432062,137.917768,10000,1880,2
Atriplex spongiosa,-26.666667,139.916667,30000,1924,2
Atriplex cordifolia,-29.733333,138.233333,1000,1957,2
Atriplex velutinella,-29.733333,138.233333,1000,1957,2
Atriplex paludosa subsp. cordata,-35.382054,139.567762,10000,1964,2
Atriplex paludosa subsp. cordata,-35.382054,139.567762,10000,1964,2
Atriplex paludosa subsp. cordata,-34.665393,138.434431,10000,1981,2
Atriplex acutibractea subsp. karoniensis,-33.965395,137.717764,10000,1972,2
Atriplex spongiosa,-32.066667,139.383333,10000,1927,2
Atriplex nummularia,-26.466389,135.483056,10000,1965,2
Atriplex nummularia,-29.233333,136.65,10000,1958,2
Atriplex nummularia subsp. spathulata,-31.516667,129.916667,1000,1967,2
Atriplex vesicaria,-31.449722,129.849722,10000,1967,2
Atriplex vesicaria,-31.6,129.85,10000,1967,2
Atriplex vesicaria,-31.4,129.833333,1000,1967,2
Atriplex vesicaria,-31.405833,129.838333,1000,1967,2
Atriplex vesicaria,-31.316667,129.816667,10000,1967,2
Atriplex paludosa subsp. cordata,-34.8,138.5,10000,1905,2
Atriplex paludosa subsp. cordata,-35.265396,138.467772,10000,1928,2
Atriplex paludosa subsp. cordata,-35.265396,138.467772,10000,1928,2
Atriplex paludosa subsp. cordata,-34.98206,138.517768,10000,1918,2
Atriplex paludosa subsp. cordata,-34.98206,138.517768,10000,1918,2
Atriplex paludosa subsp. cordata,-34.98206,138.517768,10000,1918,2
Atriplex paludosa subsp. cordata,-34.98206,138.517768,10000,1918,2
Atriplex australasica,-34.99,139.34,10000,1920,2
Atriplex australasica,-34.906782,138.595266,10000,1916,2
Atriplex vesicaria,-30.15,131.583333,10000,1960,2
Atriplex vesicaria,-30.15,131.583333,10000,1960,2
Atriplex prostrata,-34.916667,138.5,10000,1945,2
Atriplex prostrata,-34.916667,138.5,10000,1945,2
Atriplex semibaccata,-34.918333,138.597222,30000,1947,2
Atriplex paludosa subsp. cordata,-34.8,138.5,10000,1970,2
Atriplex prostrata,-34.916667,138.5,10000,1945,2
Atriplex prostrata,-34.8412,138.605,10000,1945,2
Atriplex prostrata,-34.916667,138.5,10000,1945,2
Atriplex suberecta,-29.65,138.066667,1000,1984,2
Atriplex velutinella,-29.65,138.07,1000,1984,2
Atriplex holocarpa,-29.783333,136.866667,1000,1984,2
Atriplex stipitata,-34.15,139.266667,1000,1976,2
Atriplex stipitata,-34.15,139.266667,1000,1976,2
Atriplex velutinella,-31.75,140.35,1000,1979,2
Atriplex prostrata,-35.585949,138.954715,10000,1975,2
Atriplex stipitata,-32.066667,139.383333,10000,1929,2
Atriplex velutinella,-29.75,137.316667,1000,1984,2
Atriplex holocarpa,-29.483333,137.166667,1000,1984,2
Atriplex velutinella,-29.483333,137.066667,1000,1984,2
Atriplex paludosa subsp. cordata,-34.8,138.5,10000,1970,2
Atriplex vesicaria,-34.380661,139.37053,30000,1968,2
Atriplex vesicaria,-34.380661,139.37053,30000,1968,2
Atriplex semibaccata,-34.014167,139.688611,1000,1968,2
Atriplex semibaccata,-34.871111,139.231111,1000,1973,2
Atriplex stipitata,-34.914277,139.249704,10000,1973,2
Atriplex lindleyi subsp. inflata,-34,139.7,1000,1973,2
Atriplex stipitata,-34,139.7,1000,1973,2
Atriplex stipitata,-34.033333,139.7,1000,1973,2
Atriplex stipitata,-34.29,139.65,1000,1973,2
Atriplex stipitata,-34.2875,139.65,150,1973,2
Atriplex vesicaria,-32.5,137.796,10000,2002,2
Atriplex vesicaria,-32.5,137.796,10000,2002,2
Atriplex stipitata,-34.455833,140.568889,10000,1951,2
Atriplex paludosa subsp. cordata,-35.38011,139.562206,10000,1960,2
Atriplex suberecta,-34.183333,138.15,10000,1925,2
Atriplex suberecta,-34.9025,138.4925,10000,1918,2
Atriplex suberecta,-32.5,137.766667,10000,1935,2
Atriplex cinerea,-34.990683,137.071948,10000,1963,2
Atriplex semibaccata,-35.383333,138.833333,10000,1926,2
Atriplex paludosa subsp. cordata,-34.108,138.086,1000,1964,2
Atriplex stipitata,-33.000957,136.024158,30000,1959,2
Atriplex prostrata,-35.254,138.896,10000,1989,2
Atriplex quadrivalvata var. quadrivalvata,-28.824004,134.362465,30000,1956,2
Atriplex suberecta,-33.971111,140.954722,15,2007,2
Atriplex papillata,-34.421389,140.86,15,2007,2
Atriplex paludosa subsp. cordata,-34.8112,135.7864,150,2008,2
Atriplex velutinella,-27.960371,137.392432,150,2007,2
Atriplex leptocarpa,-27.798142,138.327977,150,2007,2
Atriplex velutinella,-27.798142,138.327977,150,2007,2
Atriplex paludosa subsp. cordata,-35.296389,136.883333,15,2006,2
Atriplex paludosa subsp. cordata,-35.295556,136.883333,15,2006,2
Atriplex stipitata,-31.921111,133.018333,15,2005,2
Atriplex semibaccata,-31.921111,133.018333,15,2005,2
Atriplex suberecta,-33.810669,137.933037,30000,1966,2
Atriplex acutibractea subsp. karoniensis,-33.809,137.9286,30000,1966,2
Atriplex cinerea,-33.899839,137.629153,1000,1966,2
Atriplex cinerea,-38.03706,140.755006,10000,1964,2
Atriplex semibaccata,-33.783333,138.216667,10000,1967,2
Atriplex semibaccata,-34.933333,138.566667,10000,1924,2
Atriplex cinerea,-34.837893,138.484711,10000,1918,2
Atriplex cinerea,-34.837893,138.484711,10000,1918,2
Atriplex cinerea,-34.837893,138.484711,10000,1918,2
Atriplex prostrata,-34.915671,138.498879,10000,1945,2
Atriplex semibaccata,-34.933333,138.6,30000,1962,2
Atriplex cinerea,-35.564562,138.629996,10000,1894,2
Atriplex vesicaria,-30.166667,131.583333,10000,1960,2
Atriplex suberecta,-34.957222,138.623333,10000,1956,2
Atriplex leptocarpa,-33.782612,138.214701,10000,1968,2
Atriplex paludosa subsp. cordata,-34.13,137.45,10000,1969,2
Atriplex paludosa subsp. cordata,-34.137064,137.44888,10000,1969,2
Atriplex stipitata,-34.352606,139.396363,10000,1971,2
Atriplex stipitata,-34.263611,139.173056,30000,1971,2
Atriplex acutibractea subsp. acutibractea,-34.068159,139.429137,1000,1971,2
Atriplex prostrata,-35.317222,138.729444,15,2009,2
Atriplex prostrata,-35.317222,138.729444,15,2009,2
Atriplex prostrata,-35.317222,138.729444,15,2009,2
Atriplex prostrata,-34.844282,138.552488,10000,1945,2
Atriplex paludosa subsp. cordata,-34.8,138.5,10000,1945,2
Atriplex angulata,-28.203445,134.484402,30000,1956,2
Atriplex paludosa subsp. cordata,-33.951811,134.267239,10000,1960,2
Atriplex paludosa subsp. cordata,-33.951811,134.267239,10000,1960,2
Atriplex paludosa subsp. cordata,-33.965422,134.284461,10000,1960,2
Atriplex paludosa subsp. cordata,-33.951811,134.267239,10000,1960,2
Atriplex paludosa subsp. cordata,-33.951811,134.267239,10000,1960,2
Atriplex suberecta,-34.35,139.616667,10000,1962,2
Atriplex turbinata,-29.65,138.066667,10000,1937,2
Atriplex turbinata,-27.242222,134.8,1000,1958,2
Atriplex turbinata,-29.791751,139.682981,10000,1937,2
Atriplex spongiosa,-26.066389,135.25,10000,1965,2
Atriplex cinerea,-34.933333,138.516667,10000,1931,2
Atriplex cinerea,-32.45,133.666667,1000,1969,2
Atriplex pumilio,-31.783056,132.344167,10000,1967,2
Atriplex paludosa subsp. cordata,-35.147617,138.476381,10000,1965,2
Atriplex elachophylla,-26.066667,135.25,10000,1965,2
Atriplex holocarpa,-29.916667,133.533333,1000,1965,2
Atriplex prostrata,-35.05,139.116667,10000,1976,2
Atriplex velutinella,-27.108333,135.333333,30000,1965,2
Atriplex velutinella,-26.477889,133.517174,1000,1958,2
Atriplex angulata,-26.066667,135.25,10000,1965,2
Atriplex obconica,-27.55,135.45,1000,1958,2
Atriplex elachophylla,-27.133333,134.75,1000,1958,2
Atriplex limbata,-27.55,135.45,30000,1965,2
Atriplex limbata,-26.066667,135.25,10000,1965,2
Atriplex lindleyi subsp. conduplicata,-27.2,134.8,1000,1958,2
Atriplex nummularia subsp. spathulata,-31.476944,129.85,1000,1967,2
Atriplex nummularia,-26.066667,135.25,10000,1965,2
Atriplex semibaccata,-34.876944,138.6125,10000,1960,2
Atriplex leptocarpa,-29.716667,138.25,1000,1957,2
Atriplex vesicaria,-31.449722,129.849722,10000,1967,2
Atriplex vesicaria,-32.066667,139.383333,30000,1927,2
Atriplex holocarpa,-27.55,135.45,10000,1912,2
Atriplex holocarpa,-32.064,139.383,1000,1930,2
Atriplex holocarpa,-32.5,137.766667,10000,1935,2
Atriplex prostrata,-34.916667,138.566667,10000,1989,2
Atriplex leptocarpa,-29.466667,137.9,1000,1990,2
Atriplex suberecta,-29.916667,136.183333,1000,1990,2
Atriplex semibaccata,-33.983333,139,1000,1991,2
Atriplex pseudocampanulata,-27.25,140.216667,1000,1987,2
Atriplex angulata,-27.266667,140.216667,1000,1987,2
Atriplex lindleyi subsp. inflata,-27.15,140.23,1000,1987,2
Atriplex suberecta,-34.583333,138.516667,1000,1969,2
Atriplex stipitata,-32.065,139.382222,30000,1929,2
Atriplex stipitata,-32.065,139.382222,30000,1929,2
Atriplex acutiloba,-32.064,139.383,10000,1930,2
Atriplex holocarpa,-32.064,139.383,1000,1930,2
Atriplex semibaccata,-32.85,135.166667,10000,1924,2
Atriplex paludosa subsp. cordata,-35.2,138.5,10000,1910,2
Atriplex suberecta,-34.65,138.65,10000,1969,2
Atriplex semibaccata,-34.666667,138.566667,10000,1969,2
Atriplex eardleyae,-34.116667,139.383333,1000,1976,2
Atriplex paludosa subsp. cordata,-34.733333,138.533333,1000,1988,2
Atriplex stipitata,-34.053333,139.686389,150,1989,2
Atriplex stipitata,-34.053333,139.686389,150,1989,2
Atriplex lindleyi subsp. inflata,-32.3,133.5,10000,1916,2
Atriplex cinerea,-33.951811,134.267239,30000,1960,2
Atriplex paludosa subsp. cordata,-33.951811,134.267239,10000,1960,2
Atriplex paludosa subsp. cordata,-33.951811,134.267239,10000,1960,2
Atriplex pumilio,-34.033333,138.016667,1000,1956,2
Atriplex incrassata,-28.483611,136.481667,150,1996,2
Atriplex holocarpa,-28.483611,136.481667,150,1996,2
Atriplex spongiosa,-28.483611,136.481667,150,1996,2
Atriplex leptocarpa,-28.483611,136.481667,150,1996,2
Atriplex vesicaria,-28.501111,136.493056,150,1996,2
Atriplex nummularia subsp. nummularia,-28.415556,136.446389,150,1996,2
Atriplex nummularia subsp. omissa,-28.4828,136.4825,150,1996,2
Atriplex holocarpa,-28.501111,136.493056,150,1996,2
